policy,window,n,calls,tp,fp,actual_up,actual_down,precision,false_up_fpr,actual_up_recall,coverage,wilson90_lcb_precision,selected_counts
FROZEN_V2_CONTINUATION,FROZEN,237,37,27,10,140,97,0.7297297297297297,0.10309278350515463,0.19285714285714287,0.15611814345991562,0.6278911326069802,"{""RM_LOGIT"": 37}"
EXPANDING,EXPANDING,237,13,12,1,140,97,0.9230769230769231,0.010309278350515464,0.08571428571428572,0.05485232067510549,0.7745459511544002,"{""TTSM_S1"": 1, ""TTSM_S2"": 12}"
ROLLING_30,30,237,0,0,0,140,97,,0.0,0.0,0.0,,{}
ROLLING_40,40,237,0,0,0,140,97,,0.0,0.0,0.0,,{}
ROLLING_50,50,237,0,0,0,140,97,,0.0,0.0,0.0,,{}
ROLLING_60,60,237,2,2,0,140,97,1.0,0.0,0.014285714285714285,0.008438818565400843,0.5490923699884755,"{""TTSM_S2"": 2}"
ROLLING_70,70,237,35,20,15,140,97,0.5714285714285714,0.15463917525773196,0.14285714285714285,0.14767932489451477,0.463408133881234,"{""BONATO_AR1_RM_QBOOST_H1"": 5, ""TTSM_S1"": 10, ""TTSM_S2"": 20}"
ROLLING_80,80,237,23,14,9,140,97,0.6086956521739131,0.09278350515463918,0.1,0.0970464135021097,0.4752484760247085,"{""BONATO_AR1_RM_QBOOST_H1"": 7, ""TTSM_S1"": 3, ""TTSM_S2"": 13}"
ROLLING_90,90,237,28,15,13,140,97,0.5357142857142857,0.13402061855670103,0.10714285714285714,0.11814345991561181,0.41632671438265856,"{""BONATO_AR1_RM_QBOOST_H1"": 2, ""TTSM_S1"": 4, ""TTSM_S2"": 22}"
ROLLING_100,100,237,46,25,21,140,97,0.5434782608695652,0.21649484536082475,0.17857142857142858,0.1940928270042194,0.44948444087239287,"{""BONATO_AR1_RM_QBOOST_H1"": 7, ""TTSM_S2"": 39}"
ROLLING_110,110,237,66,41,25,140,97,0.6212121212121212,0.25773195876288657,0.29285714285714287,0.27848101265822783,0.5426252112515546,"{""BONATO_AR1_RM_QBOOST_H1"": 10, ""TTSM_S1"": 1, ""TTSM_S2"": 55}"
ROLLING_120,120,237,74,45,29,140,97,0.6081081081081081,0.29896907216494845,0.32142857142857145,0.31223628691983124,0.5337897252620653,"{""BONATO_AR1_RM_QBOOST_H1"": 11, ""TTSM_S1"": 1, ""TTSM_S2"": 62}"
ROLLING_130,130,237,74,46,28,140,97,0.6216216216216216,0.28865979381443296,0.32857142857142857,0.31223628691983124,0.5474694070736851,"{""BONATO_AR1_RM_QBOOST_H1"": 10, ""TTSM_S2"": 64}"
ROLLING_140,140,237,69,42,27,140,97,0.6086956521739131,0.27835051546391754,0.3,0.2911392405063291,0.5317106081353081,"{""BONATO_AR1_RM_QBOOST_H1"": 11, ""TTSM_S1"": 1, ""TTSM_S2"": 57}"
ROLLING_150,150,237,51,33,18,140,97,0.6470588235294118,0.18556701030927836,0.2357142857142857,0.21518987341772153,0.5579366650254298,"{""BONATO_AR1_RM_QBOOST_H1"": 7, ""TTSM_S1"": 6, ""TTSM_S2"": 38}"
ROLLING_160,160,237,55,36,19,140,97,0.6545454545454545,0.1958762886597938,0.2571428571428571,0.2320675105485232,0.5689692005904582,"{""BONATO_AR1_RM_QBOOST_H1"": 2, ""TTSM_S1"": 6, ""TTSM_S2"": 47}"
ROLLING_170,170,237,45,32,13,140,97,0.7111111111111111,0.13402061855670103,0.22857142857142856,0.189873417721519,0.6183021158186013,"{""BONATO_AR1_RM_QBOOST_H1"": 2, ""TTSM_S1"": 5, ""TTSM_S2"": 38}"
ROLLING_180,180,237,38,27,11,140,97,0.7105263157894737,0.1134020618556701,0.19285714285714287,0.16033755274261605,0.6090826647131228,"{""BONATO_AR1_RM_QBOOST_H1"": 4, ""TTSM_S1"": 1, ""TTSM_S2"": 33}"
ROLLING_190,190,237,43,32,11,140,97,0.7441860465116279,0.1134020618556701,0.22857142857142856,0.18143459915611815,0.6510333483871139,"{""BONATO_AR1_RM_QBOOST_H1"": 5, ""TTSM_S1"": 4, ""TTSM_S2"": 34}"
ROLLING_200,200,237,45,34,11,140,97,0.7555555555555555,0.1134020618556701,0.24285714285714285,0.189873417721519,0.6654129700780539,"{""BONATO_AR1_RM_QBOOST_H1"": 4, ""TTSM_S1"": 4, ""TTSM_S2"": 37}"
ROLLING_210,210,237,43,30,13,140,97,0.6976744186046512,0.13402061855670103,0.21428571428571427,0.18143459915611815,0.6020124446006941,"{""BONATO_AR1_RM_QBOOST_H1"": 4, ""TTSM_S1"": 4, ""TTSM_S2"": 35}"
ROLLING_220,220,237,21,15,6,140,97,0.7142857142857143,0.061855670103092786,0.10714285714285714,0.08860759493670886,0.5760853903480704,"{""BONATO_AR1_RM_QBOOST_H1"": 1, ""TTSM_S1"": 4, ""TTSM_S2"": 16}"
ROLLING_230,230,237,25,18,7,140,97,0.72,0.07216494845360824,0.12857142857142856,0.10548523206751055,0.5941366854232487,"{""BONATO_AR1_RM_QBOOST_H1"": 1, ""TTSM_S1"": 5, ""TTSM_S2"": 19}"
ROLLING_240,240,237,26,19,7,140,97,0.7307692307692307,0.07216494845360824,0.1357142857142857,0.10970464135021098,0.6080734063387415,"{""TTSM_S1"": 1, ""TTSM_S2"": 25}"
ROLLING_250,250,237,24,16,8,140,97,0.6666666666666666,0.08247422680412371,0.11428571428571428,0.10126582278481013,0.5362123480125703,"{""BONATO_AR1_RM_QBOOST_H1"": 1, ""TTSM_S1"": 1, ""TTSM_S2"": 22}"
ROLLING_260,260,237,24,16,8,140,97,0.6666666666666666,0.08247422680412371,0.11428571428571428,0.10126582278481013,0.5362123480125703,"{""BONATO_AR1_RM_QBOOST_H1"": 4, ""TTSM_S2"": 20}"
ROLLING_270,270,237,28,16,12,140,97,0.5714285714285714,0.12371134020618557,0.11428571428571428,0.11814345991561181,0.45091818603649925,"{""BONATO_AR1_RM_QBOOST_H1"": 4, ""RM_LOGIT"": 4, ""TTSM_S1"": 1, ""TTSM_S2"": 19}"
ROLLING_280,280,237,37,21,16,140,97,0.5675675675675675,0.16494845360824742,0.15,0.15611814345991562,0.46252103918853316,"{""BONATO_AR1_RM_QBOOST_H1"": 6, ""RM_LOGIT"": 4, ""TTSM_S1"": 2, ""TTSM_S2"": 25}"
ROLLING_290,290,237,40,23,17,140,97,0.575,0.17525773195876287,0.16428571428571428,0.16877637130801687,0.4738233939235509,"{""BONATO_AR1_RM_QBOOST_H1"": 7, ""RM_LOGIT"": 4, ""TTSM_S1"": 2, ""TTSM_S2"": 27}"
ROLLING_300,300,237,47,28,19,140,97,0.5957446808510638,0.1958762886597938,0.2,0.19831223628691982,0.50227889756561,"{""BONATO_AR1_RM_QBOOST_H1"": 6, ""RM_LOGIT"": 6, ""TTSM_S1"": 1, ""TTSM_S2"": 34}"
ROLLING_310,310,237,49,30,19,140,97,0.6122448979591837,0.1958762886597938,0.21428571428571427,0.20675105485232068,0.5207846247710731,"{""BONATO_AR1_RM_QBOOST_H1"": 2, ""RM_LOGIT"": 7, ""TTSM_S1"": 1, ""TTSM_S2"": 39}"
ROLLING_320,320,237,46,28,18,140,97,0.6086956521739131,0.18556701030927836,0.2,0.1940928270042194,0.5142568314795559,"{""RM_LOGIT"": 7, ""TTSM_S2"": 39}"
ROLLING_330,330,237,36,23,13,140,97,0.6388888888888888,0.13402061855670103,0.16428571428571428,0.1518987341772152,0.5323162207262331,"{""RM_LOGIT"": 7, ""TTSM_S2"": 29}"
ROLLING_340,340,237,42,28,14,140,97,0.6666666666666666,0.14432989690721648,0.2,0.17721518987341772,0.5687314341124539,"{""RM_LOGIT"": 9, ""TTSM_S2"": 33}"
ROLLING_350,350,237,47,32,15,140,97,0.6808510638297872,0.15463917525773196,0.22857142857142856,0.19831223628691982,0.5888726243184743,"{""RM_LOGIT"": 12, ""TTSM_S2"": 35}"
ROLLING_360,360,237,41,31,10,140,97,0.7560975609756098,0.10309278350515463,0.22142857142857142,0.1729957805907173,0.6613810574103643,"{""RM_LOGIT"": 12, ""TTSM_S2"": 29}"
ROLLING_370,370,237,36,29,7,140,97,0.8055555555555556,0.07216494845360824,0.20714285714285716,0.1518987341772152,0.70848670900655,"{""RM_LOGIT"": 16, ""TTSM_S2"": 20}"
ROLLING_380,380,237,41,32,9,140,97,0.7804878048780488,0.09278350515463918,0.22857142857142856,0.1729957805907173,0.6877374813432249,"{""RM_LOGIT"": 23, ""TTSM_S2"": 18}"
ROLLING_390,390,237,42,33,9,140,97,0.7857142857142857,0.09278350515463918,0.2357142857142857,0.17721518987341772,0.6946396260977438,"{""RM_LOGIT"": 23, ""TTSM_S2"": 19}"
ROLLING_400,400,237,33,26,7,140,97,0.7878787878787878,0.07216494845360824,0.18571428571428572,0.13924050632911392,0.6841772660975199,"{""RM_LOGIT"": 23, ""TTSM_S2"": 10}"
ROLLING_410,410,237,43,33,10,140,97,0.7674418604651163,0.10309278350515463,0.2357142857142857,0.18143459915611815,0.6759766679997078,"{""RM_LOGIT"": 25, ""TTSM_S1"": 1, ""TTSM_S2"": 17}"
ROLLING_420,420,237,48,36,12,140,97,0.75,0.12371134020618557,0.2571428571428571,0.20253164556962025,0.6625350112471394,"{""RM_LOGIT"": 27, ""TTSM_S2"": 21}"
ROLLING_430,430,237,48,36,12,140,97,0.75,0.12371134020618557,0.2571428571428571,0.20253164556962025,0.6625350112471394,"{""RM_LOGIT"": 28, ""TTSM_S2"": 20}"
ROLLING_440,440,237,39,29,10,140,97,0.7435897435897436,0.10309278350515463,0.20714285714285716,0.16455696202531644,0.6454189265319566,"{""RM_LOGIT"": 28, ""TTSM_S2"": 11}"
ROLLING_450,450,237,29,23,6,140,97,0.7931034482758621,0.061855670103092786,0.16428571428571428,0.12236286919831224,0.6823055977897627,"{""RM_LOGIT"": 28, ""TTSM_S2"": 1}"
ROLLING_460,460,237,29,23,6,140,97,0.7931034482758621,0.061855670103092786,0.16428571428571428,0.12236286919831224,0.6823055977897627,"{""RM_LOGIT"": 28, ""TTSM_S2"": 1}"
ROLLING_470,470,237,30,23,7,140,97,0.7666666666666667,0.07216494845360824,0.16428571428571428,0.12658227848101267,0.655477313656358,"{""RM_LOGIT"": 29, ""TTSM_S1"": 1}"
ROLLING_480,480,237,33,25,8,140,97,0.7575757575757576,0.08247422680412371,0.17857142857142858,0.13924050632911392,0.6512574809665256,"{""RM_LOGIT"": 32, ""TTSM_S1"": 1}"
ROLLING_490,490,237,36,26,10,140,97,0.7222222222222222,0.10309278350515463,0.18571428571428572,0.1518987341772152,0.618467204216343,"{""RM_LOGIT"": 36}"
ROLLING_500,500,237,37,27,10,140,97,0.7297297297297297,0.10309278350515463,0.19285714285714287,0.15611814345991562,0.6278911326069802,"{""RM_LOGIT"": 37}"
